data,load,GRU,lstm,RF,LM,GB,SVM,SVR,Target2
2013/1/2 14:00,49453.95,51458.47266,51449.78906,50208.21078,50991.83173,48567.14595,49551.68984,48642.2558,51073.75
2013/1/2 15:00,49285.6,50629.73047,50247.95313,49976.01427,50760.71594,48240.38186,49299.47883,48817.29432,50484.07
2013/1/2 16:00,50381.24,51151.89453,50114.93359,51843.40222,51560.65562,48807.01557,49859.92054,50105.54221,51064.65
2013/1/2 17:00,53185.86,53375.58594,52556.01953,53444.54135,53743.43847,51471.92992,51619.35392,52739.35618,53142.18
2013/1/2 18:00,53267.76,54639.80469,54733.71484,53573.65508,54103.16905,51429.19259,51855.0487,52625.21178,52943.8
2013/1/2 19:00,51576.98,51562.16797,51831.83984,52544.17936,52493.81628,50229.56401,50726.34383,51026.84478,50982.75
2013/1/2 20:00,47953.36,49206.48047,48014.57031,49911.64876,49145.14319,47443.3829,48311.16629,47994.44883,47377.33
2013/1/2 21:00,45509.1,45878.51172,45295.44531,47532.48551,46596.0407,45702.25449,46514.04051,46321.51178,45320.73
2013/1/2 22:00,44351.58,45128.72656,45345.01953,46401.59352,45378.97602,44958.05769,45630.78848,45717.26227,43873.83
2013/1/2 23:00,40636.05,39991.94141,40623.98438,42867.88506,42402.93344,41419.91743,43420.71491,43119.52839,39706.94
2013/1/3 0:00,37591.19,36593.42188,36330.75391,38878.20522,39995.7515,38993.6216,35497.45128,29033.08859,36630.23
2013/1/3 1:00,35542.78,34725.37891,34732.82813,36538.71383,38178.30024,36870.04102,33801.86386,26797.3802,34171.41
2013/1/3 2:00,34431.67,33013.96094,33027.0625,35647.6943,37338.87369,35684.72014,33276.97033,25987.6804,33236.84
2013/1/3 3:00,34205.99,33071.78125,33221.22656,35738.64152,37302.88002,35367.52855,33668.25615,26398.55295,33601.75
2013/1/3 4:00,35158.76,34454.27734,34649.45703,36112.75446,38211.61258,37025.38765,34956.56845,27888.84295,34695.57
2013/1/3 5:00,36830.43,36440.70313,36754.21094,37777.94293,39912.25684,38573.98684,36942.93044,29470.39457,37016.07
2013/1/3 6:00,40617.85,41427.60156,42347.18359,41483.37941,43575.45629,43671.81459,40502.25796,31588.9084,41641.6
2013/1/3 7:00,45248.84,46139.77734,46306.38672,45709.26613,47742.43542,47824.00755,44801.3225,33855.61214,46490.99
2013/1/3 8:00,47904.22,49955.64844,49410.10938,48150.84264,49851.40026,49864.40428,48104.18534,36758.87329,49689.64
2013/1/3 9:00,49492.17,51370.32031,51053.35938,49745.80763,50801.80242,49446.05673,50172.76033,39447.10752,51439.57
2013/1/3 10:00,51257.57,52885.50781,52350.90234,51357.28153,51889.85897,51995.55382,51960.87862,42100.68044,53111.24
2013/1/3 11:00,52944.71,54342,54013.68359,52507.43265,52987.14416,53894.23201,53575.50361,44787.80116,54742.87
2013/1/3 12:00,53053.91,54408.45703,54630.82813,52495.65867,53053.92736,53797.19385,53765.74498,45979.36598,54556.32
2013/1/3 13:00,52314.99,53720.01172,53455.82813,52154.11848,52059.21273,53504.26595,53257.6119,46010.41139,52582.53
2013/1/3 14:00,51073.75,51485.73047,51390.82813,51163.07095,50608.11753,53132.155,52334.68756,45439.87501,50860.81
2013/1/3 15:00,50484.07,50265.64844,49902.26563,50572.30208,49651.68514,51810.73958,51901.51982,45193.48412,50224.72
2013/1/3 16:00,51064.65,50835.48438,50194.33203,50811.02896,49515.09559,52657.2961,52971.62953,47123.92588,50753.43
2013/1/3 17:00,53142.18,53656.85547,52694.88672,51010.70601,51004.00498,53996.74141,55103.25789,50862.99652,52365.95
